Country,Traffic_type,2008,2008Q1,2008Q2,2009,2009Q1,2009Q2,2010,2010Q1,2010Q2,2011,2011Q1,2011Q2,2012,2012Q1,2012Q2,2013,2013Q1,2013Q2,2014,2014Q1,2014Q2,2015,2015Q1,2015Q2,2016,2016Q1,2016Q2,2017,2017Q1,2017Q2,2018,2018Q1,2018Q2,2019,2019Q1,2019Q2,2020Q1,2020Q2
Austria,Cargo,206221,0.0,0.0,202642,0.0,0.0,236633,0.0,0.0,219448,0.0,0.0,197543,0.0,0.0,196459,0.0,0.0,217785,0.0,0.0,216621,0.0,0.0,223421,0.0,0.0,227643,0.0,0.0,237701,0.0,0.0,228223,0.0,0.0,0.0,0.0
Austria,passengers,23899584,5642658.0,6329051.0,21817267,4811079.0,5606671.0,23532455,5119095.0,5856889.0,25137612,5356549.0,6487965.0,25965977,5746359.0,6792603.0,25749724,5647098.0,6677200.0,26378676,5694668.0,7003020.0,26754007,5569165.0,7066295.0,27181511,5702348.0,6923250.0,28327279,5953653.0,7538021.0,31138417,6246913.0,7850540.0,35644188,7506764.0,9331059.0,6103403.0,0.0
Belgium,Cargo,1071346,0.0,0.0,836409,0.0,0.0,953582,0.0,0.0,984363,0.0,0.0,963615,0.0,0.0,957012,0.0,0.0,1014586,0.0,0.0,1126234,0.0,0.0,1088734,0.0,0.0,1251173,0.0,0.0,1416428,0.0,0.0,1397513,0.0,0.0,0.0,0.0
Belgium,passengers,21983683,4597171.0,5939398.0,21316690,4048284.0,5750292.0,22697764,4413595.0,5716353.0,25102695,4843505.0,6727052.0,25919515,5027817.0,6998062.0,26389927,5043069.0,7130277.0,28776258,5251723.0,7808421.0,30958841,5883323.0,8375251.0,30115832,5992118.0,7445614.0,33260493,6609855.0,8860409.0,34506309,6975617.0,9265329.0,35385188,7084409.0,9468243.0,5744430.0,0.0
Bulgaria,Cargo,19533,0.0,0.0,17450,0.0,0.0,21110,0.0,0.0,21879,0.0,0.0,18529,0.0,0.0,19575,0.0,0.0,23073,0.0,0.0,31520,0.0,0.0,32977,0.0,0.0,34807,0.0,0.0,29867,0.0,0.0,28749,0.0,0.0,0.0,0.0
Bulgaria,passengers,6417992,755462.0,1629355.0,5840825,773604.0,1465413.0,6169323,789522.0,1463828.0,6652007,825438.0,1640920.0,6819103,813277.0,1703281.0,7079292,826369.0,1772382.0,7520697,888015.0,1942816.0,7610949,922910.0,1839665.0,9324217,1053099.0,2204605.0,11092651,1518232.0,2768318.0,12137714,1664128.0,3192112.0,11713068,1725247.0,3010693.0,1802702.0,0.0
Croatia,Cargo,8582,0.0,0.0,8724,0.0,0.0,7443,0.0,0.0,7228,0.0,0.0,6961,0.0,0.0,6857,0.0,0.0,6908,0.0,0.0,7189,0.0,0.0,7691,0.0,0.0,9510,0.0,0.0,11934,0.0,0.0,10846,0.0,0.0,0.0,0.0
Croatia,passengers,4504677,513289.0,1285693.0,4335208,456651.0,1239929.0,4677414,428024.0,1266469.0,4989236,472208.0,1413320.0,5422632,469139.0,1556726.0,5722447,511255.0,1655562.0,6140797,481350.0,1772219.0,6571698,538980.0,1878821.0,7475463,592328.0,2067982.0,8843053,609212.0,2541087.0,9731294,721619.0,2839344.0,10623239,755530.0,3216131.0,575402.0,86974.0
Cyprus,Cargo,42796,0.0,0.0,38636,0.0,0.0,37265,0.0,0.0,29480,0.0,0.0,27581,0.0,0.0,28328,0.0,0.0,28095,0.0,0.0,27626,0.0,0.0,28430,0.0,0.0,30880,0.0,0.0,32186,0.0,0.0,32360,0.0,0.0,0.0,0.0
Cyprus,passengers,7218084,942993.0,2022887.0,6729787,859834.0,1916218.0,6948288,925407.0,1892877.0,7190387,881458.0,2065204.0,7328300,846993.0,2112424.0,7011437,751110.0,2047039.0,7328546,781564.0,2153194.0,7590787,853524.0,2176001.0,8961817,991054.0,2514963.0,10238913,1179003.0,2952434.0,10927101,1332913.0,3185189.0,11261410,1396069.0,3286842.0,1136241.0,56792.0
Czechia,Cargo,55906,0.0,0.0,53924,0.0,0.0,65620,0.0,0.0,69206,0.0,0.0,58707,0.0,0.0,58147,0.0,0.0,58312,0.0,0.0,58445,0.0,0.0,77704,0.0,0.0,89279,0.0,0.0,90526,0.0,0.0,97248,0.0,0.0,0.0,0.0
Czechia,passengers,13429149,2595381.0,3625372.0,12367467,2147362.0,3247751.0,12242386,2287928.0,3070033.0,12650532,2215594.0,3482279.0,11742352,2155952.0,3118632.0,11891812,2014757.0,3192174.0,12079873,2066126.0,3250637.0,12672004,2108933.0,3377292.0,13672362,2341711.0,3427524.0,16245554,2790469.0,4221933.0,17838221,3173342.0,4649334.0,18832696,3296880.0,4900343.0,2570870.0,0.0
Denmark,Cargo,254105,0.0,0.0,158767,0.0,0.0,150271,0.0,0.0,155662,0.0,0.0,166283,0.0,0.0,148980,0.0,0.0,208590,0.0,0.0,210570,0.0,0.0,200133,0.0,0.0,235937,0.0,0.0,242068,0.0,0.0,244997,0.0,0.0,0.0,0.0
Denmark,passengers,24639072,5568434.0,6662272.0,22277524,4603259.0,5899957.0,24334687,5125633.0,6007415.0,25808321,5333952.0,6854751.0,26532730,5705423.0,7004245.0,27459623,5670280.0,7357672.0,29015133,5889185.0,7990293.0,30095505,6009618.0,7929456.0,32763142,6762707.0,8614041.0,33261214,6965616.0,8883105.0,34701139,7093622.0,9385968.0,34780127,7145302.0,9361522.0,5499671.0,252303.0
Estonia,Cargo,41744,0.0,0.0,20526,0.0,0.0,11886,0.0,0.0,18341,0.0,0.0,23760,0.0,0.0,20862,0.0,0.0,19432,0.0,0.0,16034,0.0,0.0,13868,0.0,0.0,11233,0.0,0.0,11475,0.0,0.0,10866,0.0,0.0,0.0,0.0
Estonia,passengers,1804430,402764.0,493709.0,1341294,303659.0,352769.0,1381062,281078.0,349918.0,1907569,351161.0,516170.0,2202427,422650.0,631699.0,1958565,375403.0,543914.0,2019806,383544.0,546044.0,2160978,412019.0,592068.0,2214989,412080.0,603885.0,2635145,487611.0,694212.0,2995528,554542.0,809663.0,3258003,629880.0,883158.0,527591.0,0.0
Finland,Cargo,147822,0.0,0.0,126900,0.0,0.0,165254,0.0,0.0,179216,0.0,0.0,195631,0.0,0.0,192512,0.0,0.0,190586,0.0,0.0,182089,0.0,0.0,186471,0.0,0.0,188722,0.0,0.0,196810,0.0,0.0,225242,0.0,0.0,0.0,0.0
Finland,passengers,14850682,3609159.0,3777943.0,13828812,3327181.0,3511813.0,14220636,3361818.0,3428511.0,16374398,3643549.0,4361360.0,16458815,3944891.0,4320764.0,16565391,3749243.0,4315082.0,17171931,3905464.0,4495566.0,17479246,3932883.0,4484768.0,18099954,4149912.0,4590192.0,20054947,4443186.0,5095315.0,22173530,5044232.0,5715308.0,23287929,5241638.0,6090934.0,4176090.0,143901.0
France,Cargo,1672284,0.0,0.0,1450562,0.0,0.0,1525970,0.0,0.0,1765733,0.0,0.0,1753085,0.0,0.0,1741021,0.0,0.0,2361510,0.0,0.0,2380931,0.0,0.0,2401593,0.0,0.0,2450326,0.0,0.0,2407878,0.0,0.0,2313684,0.0,0.0,0.0,0.0
France,passengers,122960315,26916559.0,32996702.0,117636389,24670819.0,31561469.0,118697207,24884002.0,30437735.0,126013257,26058932.0,33634595.0,129764462,27038108.0,34632131.0,132762875,27228259.0,35499161.0,136360671,28060745.0,37036957.0,140867569,28823517.0,37633192.0,145280602,29693483.0,38597434.0,154096485,31452583.0,40932094.0,161991179,33319555.0,42628172.0,168716779,34915649.0,45446874.0,28191375.0,0.0
